Context,,count,mean,std,mean - std,,min,25%,50%,75%,max,
clima,tot3m_chuva,1044107,"55.481,52","66.558,46","-11.076,95","24.607,52",0,"10.395,00","30.874,00","75.656,00","596.946,00",?
clima,tot1m_chuva,1010188,"22.434,86","31.119,76","-8.684,89","11.823,26",0,"1.327,20","10.611,60","31.095,40","272.948,40",
clima,tot7d_chuva,935785,"6.984,88","12.369,31","-5.384,43","4.986,88","0,00","15,60","1.998,00","8.448,80","126.672,00",?
clima,med7d_num_pixels,1017247,"26.825,64","29.575,93","-2.750,29","13.299,64","151,00","6.365,00","13.526,00","32.960,00","106.541,00",?
clima,med1m_num_pixels,1017247,"26.825,64","29.575,93","-2.750,29","13.299,64","151,00","6.365,00","13.526,00","32.960,00","106.541,00",
clima,med3m_num_pixels,1017247,"26.825,64","29.575,93","-2.750,29","13.299,64","151,00","6.365,00","13.526,00","32.960,00","106.541,00",
clima,med6m_num_pixels,1017247,"26825,6423336712","29575,9306396391","-2750,28830596796","13299,6423336712",151,6365,13526,32960,106541,
clima,med12m_num_pixels,1017247,"26825,6423336712","29575,9306396391","-2750,28830596796","13299,6423336712",151,6365,13526,32960,106541,
clima,cnt7d_cl_ituinst,1014932,"0,073377386268206","0,184950720979384","-0,111573334711178","0,073377386268206",0,0,0,0,1,
clima,cnt1m_cl_ituinst,1033465,"0,065000712361016","0,138242092597215","-0,073241380236199","0,065000712361016",0,0,0,"0,0625",1,
clima,cnt3m_cl_ituinst,1056202,"0,055296485615517","0,105887858116146","-0,050591372500629","0,055296485615517",0,0,0,"0,0638",1,
clima,cnt6m_cl_ituinst,1061451,"0,053258204759456","0,08167440461907","-0,028416199859614","0,031558204759456",0,0,"0,0217","0,0725","0,6196",
clima,cnt12m_cl_ituinst,1061451,"0,060628260937012","0,068653156246533","-0,008024895309521","0,014328260937012",0,"0,0072","0,0463","0,0851","0,5182",
clima,med1m_evi,1017247,"0,342435347560478","0,084089141431631","0,258346206128847","-0,007564652439522","0,16","0,27","0,35","0,41","0,52",
clima,med7d_evi,1017247,"0,346935139646285","0,086788313195912","0,260146826450373","-0,023064860353715","0,16","0,27","0,37","0,41","0,57",
clima,med3m_evi,1017247,"0,332190274339008","0,071565693660302","0,260624580678706","0,002190274339008","0,17","0,27","0,33","0,39","0,51",
clima,med6m_evi,1017247,"0,339918652992977","0,052856746763488","0,287061906229489","-8,13470070228362E-05","0,21","0,3","0,34","0,38","0,49",
clima,med12m_evi,1017247,"0,360456958831171","0,031601381546574","0,328855577284597","0,000456958831171","0,3","0,34","0,36","0,38","0,47",
clima,med1m_ndvi,1017247,"0,541884822466111","0,098445599407685","0,443439223058426","-0,028115177533889","0,3","0,46","0,57","0,62","0,73",
clima,med7d_ndvi,1017247,"0,545676153383272","0,100539425607369","0,445136727775903","-0,024323846616728","0,29","0,46","0,57","0,62","0,74",
clima,med3m_ndvi,1017247,"0,53344321487299","0,086641443672578","0,446801771200412","-0,00655678512701","0,32","0,46","0,54","0,61","0,72",
animal,classificacao,1061451,"0,83630144019837","0,370001986881497","0,466299453316872","-0,16369855980163",0,1,1,1,1,
clima,med6m_ndvi,1017247,"0,546540486233681","0,063230617008644","0,483309869225038","-0,003459513766319","0,39","0,5","0,55","0,6","0,71",
clima,med12m_ndvi,1017247,"0,569540426269456","0,037574817269573","0,531965608999883","-0,000459573730544","0,49","0,54","0,57","0,6","0,7",
clima,cnt7d_cl_itumax,1014881,"0,85988100102585","0,202861531278754","0,657019469747096","-0,14011899897415",0,"0,7778",1,1,1,
clima,cnt1m_cl_itumax,1033296,"0,851301377922985","0,169276188164056","0,682025189758929","-0,054998622077015",0,"0,7813","0,9063","0,9688",1,
clima,cnt3m_cl_itumax,1056202,"0,833125024947938","0,141788710700398","0,69133631424754","-0,039174975052062",0,"0,7447","0,8723","0,9468",1,
clima,cnt6m_cl_itumax,1061451,"0,833655698660208","0,116307470038949","0,717348228621259","-0,025044301339792","0,0909","0,7663","0,8587","0,9231",1,
clima,cnt12m_cl_itumax,1061451,"0,863616819900636","0,07943673675337","0,784180083147266","-0,006583180099364","0,0952","0,8237","0,8702","0,9273",1,
clima,med7d_velventomax,1018233,"14,7991150748399","4,58603542370267","10,2130796511372","0,159115074839853",0,"11,64","14,64","18,16","27,28",
clima,med1m_velventomax,1039259,"14,8442650099721","4,16893770251088","10,6753273074612","0,11426500997209",0,"11,68","14,73","17,93","25,04",
clima,med6m_velventomax,1061451,"14,4234091163837","3,53372654461574","10,889682571768","0,32340911638372","3,45","11,58","14,1","17,11","22,57",
clima,med3m_velventomax,1061271,"14,7488227512281","3,82400611712529","10,9248166341028","0,338822751228083","1,01","11,79","14,41","17,79","24,24",
clima,med12m_velventomax,1061451,"14,5596115411808","3,20832656078811","11,3512849803926","0,729611541180761","7,31","11,94","13,83","16,77","21,56",
clima,med7d_tempmin,1015010,"18,9153205485727","3,46553570287228","15,4497848457004","-0,824679451427336","4,9","16,41","19,74","21,39","32,77",
